Team Rating: 12, Threat Score: 759, cresselia, registeel, togekiss, Grades : D, A, B, A
Team Rating: 12, Threat Score: 753, cresselia, mewtwo_armored, togekiss, Grades : D, A, B, A
Team Rating: 12, Threat Score: 748, abomasnow, cresselia, registeel, Grades : D, A, B, A
Team Rating: 12, Threat Score: 734, cresselia, muk_alolan, obstagoon, Grades : D, A, B, A
Team Rating: 12, Threat Score: 731, cresselia, giratina_origin, togekiss, Grades : C, B, B, A
Team Rating: 12, Threat Score: 730, articuno, obstagoon, registeel, Grades : C, A, C, A
Team Rating: 12, Threat Score: 730, abomasnow, articuno, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 729, machamp, registeel, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 729, giratina_altered, giratina_origin, swampert, Grades : C, B, B, A
Team Rating: 12, Threat Score: 727, machamp, muk_alolan, registeel, Grades : C, B, B, A
Team Rating: 12, Threat Score: 727, articuno, cresselia, perrserker, Grades : C, B, B, A
Team Rating: 12, Threat Score: 726, cresselia, melmetal, mewtwo_armored, Grades : C, A, B, B
Team Rating: 12, Threat Score: 724, articuno, giratina_altered, giratina_origin, Grades : C, B, B, A
Team Rating: 12, Threat Score: 722, lapras, snorlax, swampert, Grades : C, B, B, A
Team Rating: 12, Threat Score: 721, lapras, machamp, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 720, articuno, obstagoon, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 719, giratina_origin, muk_alolan, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 719, cresselia, obstagoon, perrserker, Grades : C, B, B, A
Team Rating: 12, Threat Score: 719, articuno, muk_alolan, registeel, Grades : C, A, B, B
Team Rating: 12, Threat Score: 718, lapras, registeel, togekiss, Grades : C, A, C, A
Team Rating: 12, Threat Score: 717, giratina_origin, muk_alolan, registeel, Grades : C, B, B, A
Team Rating: 12, Threat Score: 715, abomasnow, cresselia, giratina_origin, Grades : C, B, B, A
Team Rating: 12, Threat Score: 712, lapras, machamp, registeel, Grades : C, B, B, A
Team Rating: 12, Threat Score: 712, abomasnow, registeel, swampert, Grades : C, B, B, A
Team Rating: 12, Threat Score: 711, cresselia, mewtwo_armored, poliwrath, Grades : C, A, B, B
Team Rating: 12, Threat Score: 710, mewtwo_armored, perrserker, registeel, Grades : C, B, B, A
Team Rating: 12, Threat Score: 710, cresselia, melmetal, muk_alolan, Grades : C, A, B, B
Team Rating: 12, Threat Score: 709, articuno, lapras, obstagoon, Grades : C, B, B, A
Team Rating: 12, Threat Score: 708, cresselia, perrserker, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 707, giratina_altered, mewtwo_armored, togekiss, Grades : C, B, B, A
Team Rating: 12, Threat Score: 707, cresselia, obstagoon, poliwrath, Grades : C, A, B, B
Team Rating: 12, Threat Score: 705, mewtwo_armored, obstagoon, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 704, lapras, snorlax, togekiss, Grades : C, B, B, A
Team Rating: 12, Threat Score: 702, muk_alolan, registeel, swampert, Grades : C, B, B, A
Team Rating: 12, Threat Score: 701, giratina_origin, mewtwo_armored, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 701, cresselia, lapras, muk_alolan, Grades : C, A, B, B
Team Rating: 12, Threat Score: 701, abomasnow, lapras, mewtwo_armored, Grades : C, B, B, A
Team Rating: 12, Threat Score: 700, cresselia, poliwrath, snorlax, Grades : C, A, B, B
Team Rating: 12, Threat Score: 700, abomasnow, mewtwo_armored, obstagoon, Grades : C, B, B, A
Team Rating: 12, Threat Score: 699, mewtwo_armored, perrserker, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 699, cresselia, machamp, obstagoon, Grades : C, B, B, A
Team Rating: 12, Threat Score: 698, abomasnow, mewtwo_armored, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 698, abomasnow, giratina_altered, mewtwo_armored, Grades : C, B, B, A
Team Rating: 12, Threat Score: 696, giratina_altered, mewtwo_armored, perrserker, Grades : C, B, B, A
Team Rating: 12, Threat Score: 696, articuno, cresselia, melmetal, Grades : C, A, B, B
Team Rating: 12, Threat Score: 695, cresselia, giratina_origin, perrserker, Grades : C, B, B, A
Team Rating: 12, Threat Score: 694, mewtwo_armored, registeel, togekiss, Grades : C, A, C, A
Team Rating: 12, Threat Score: 694, mewtwo_armored, poliwrath, registeel, Grades : C, A, B, B
Team Rating: 12, Threat Score: 691, articuno, lapras, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 690, giratina_altered, perrserker, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 687, giratina_altered, giratina_origin, obstagoon, Grades : C, B, B, A
Team Rating: 12, Threat Score: 686, lapras, mewtwo_armored, togekiss, Grades : C, B, B, A
Team Rating: 12, Threat Score: 686, cresselia, poliwrath, registeel, Grades : C, A, B, B
Team Rating: 12, Threat Score: 686, abomasnow, giratina_altered, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 685, articuno, machamp, registeel, Grades : C, B, B, A
Team Rating: 12, Threat Score: 681, giratina_altered, snorlax, togekiss, Grades : C, B, B, A
Team Rating: 12, Threat Score: 680, mewtwo_armored, muk_alolan, obstagoon, Grades : C, B, B, A
Team Rating: 12, Threat Score: 680, machamp, mewtwo_armored, registeel, Grades : C, B, B, A
Team Rating: 12, Threat Score: 679, cresselia, lapras, melmetal, Grades : C, A, B, B
Team Rating: 12, Threat Score: 678, abomasnow, cresselia, machamp, Grades : C, B, B, A
Team Rating: 12, Threat Score: 677, giratina_altered, muk_alolan, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 676, mewtwo_armored, snorlax, swampert, Grades : C, B, B, A
Team Rating: 12, Threat Score: 676, mewtwo_armored, obstagoon, swampert, Grades : C, B, B, A
Team Rating: 12, Threat Score: 676, mewtwo_armored, muk_alolan, snorlax, Grades : C, B, B, A
Team Rating: 12, Threat Score: 676, articuno, lapras, mewtwo_armored, Grades : C, A, B, B
Team Rating: 12, Threat Score: 676, articuno, cresselia, poliwrath, Grades : C, A, B, B
Team Rating: 12, Threat Score: 676, abomasnow, giratina_altered, muk_alolan, Grades : C, B, B, A
Team Rating: 12, Threat Score: 673, giratina_altered, mewtwo_armored, swampert, Grades : C, B, B, A
Team Rating: 12, Threat Score: 671, cresselia, melmetal, obstagoon, Grades : C, A, B, B
Team Rating: 12, Threat Score: 670, lapras, mewtwo_armored, perrserker, Grades : C, B, B, A
Team Rating: 12, Threat Score: 670, giratina_altered, perrserker, registeel, Grades : C, B, B, A
Team Rating: 12, Threat Score: 670, articuno, cresselia, giratina_origin, Grades : C, A, B, B
Team Rating: 12, Threat Score: 667, mewtwo_armored, snorlax, togekiss, Grades : C, B, B, A
Team Rating: 12, Threat Score: 663, giratina_altered, obstagoon, perrserker, Grades : B, C, B, A
Team Rating: 12, Threat Score: 663, cresselia, machamp, perrserker, Grades : B, C, B, A
Team Rating: 12, Threat Score: 662, giratina_altered, mewtwo_armored, poliwrath, Grades : B, B, B, B
Team Rating: 12, Threat Score: 662, articuno, machamp, obstagoon, Grades : B, C, B, A
Team Rating: 12, Threat Score: 659, giratina_altered, perrserker, togekiss, Grades : B, C, B, A
Team Rating: 12, Threat Score: 659, giratina_altered, melmetal, mewtwo_armored, Grades : B, B, B, B
Team Rating: 12, Threat Score: 659, abomasnow, giratina_altered, swampert, Grades : B, C, B, A
Team Rating: 12, Threat Score: 658, giratina_altered, poliwrath, snorlax, Grades : B, B, B, B
Team Rating: 12, Threat Score: 658, articuno, giratina_origin, perrserker, Grades : B, C, B, A
Team Rating: 12, Threat Score: 656, giratina_origin, obstagoon, registeel, Grades : B, B, C, A
Team Rating: 12, Threat Score: 655, articuno, mewtwo_armored, perrserker, Grades : B, C, B, A
Team Rating: 12, Threat Score: 654, giratina_altered, melmetal, muk_alolan, Grades : B, B, B, B
Team Rating: 12, Threat Score: 654, cresselia, swampert, togekiss, Grades : B, B, B, B
Team Rating: 12, Threat Score: 652, giratina_origin, muk_alolan, swampert, Grades : B, C, B, A
Team Rating: 12, Threat Score: 652, giratina_origin, machamp, snorlax, Grades : B, C, B, A
Team Rating: 12, Threat Score: 651, snorlax, swampert, togekiss, Grades : B, C, B, A
Team Rating: 12, Threat Score: 651, giratina_altered, perrserker, swampert, Grades : B, C, B, A
Team Rating: 12, Threat Score: 650, machamp, mewtwo_armored, perrserker, Grades : B, C, B, A
Team Rating: 12, Threat Score: 650, lapras, mewtwo_armored, muk_alolan, Grades : B, B, B, B
Team Rating: 12, Threat Score: 649, mewtwo_armored, perrserker, swampert, Grades : B, C, B, A
Team Rating: 12, Threat Score: 649, abomasnow, giratina_origin, swampert, Grades : B, C, B, A
Team Rating: 12, Threat Score: 648, articuno, cresselia, machamp, Grades : B, B, B, B
Team Rating: 12, Threat Score: 647, giratina_altered, machamp, perrserker, Grades : B, C, B, A
Team Rating: 12, Threat Score: 645, articuno, machamp, snorlax, Grades : B, C, B, A
Team Rating: 12, Threat Score: 643, giratina_origin, lapras, obstagoon, Grades : B, B, C, A
Team Rating: 12, Threat Score: 642, giratina_altered, melmetal, snorlax, Grades : B, B, B, B
Team Rating: 12, Threat Score: 637, mewtwo_armored, swampert, togekiss, Grades : B, C, B, A
Team Rating: 12, Threat Score: 637, cresselia, muk_alolan, swampert, Grades : B, B, B, B
Team Rating: 12, Threat Score: 637, abomasnow, mewtwo_armored, swampert, Grades : B, C, B, A
Team Rating: 12, Threat Score: 634, articuno, obstagoon, swampert, Grades : B, C, B, A
Team Rating: 12, Threat Score: 632, giratina_altered, muk_alolan, poliwrath, Grades : B, B, B, B
Team Rating: 12, Threat Score: 631, articuno, giratina_origin, lapras, Grades : B, B, B, B
Team Rating: 12, Threat Score: 631, abomasnow, giratina_altered, poliwrath, Grades : B, B, B, B
Team Rating: 12, Threat Score: 629, registeel, swampert, togekiss, Grades : B, B, C, A
Team Rating: 12, Threat Score: 628, articuno, giratina_altered, perrserker, Grades : B, C, B, A
Team Rating: 12, Threat Score: 627, giratina_altered, lapras, muk_alolan, Grades : B, B, B, B
Team Rating: 12, Threat Score: 627, abomasnow, giratina_altered, machamp, Grades : B, C, B, A
Team Rating: 12, Threat Score: 626, mewtwo_armored, muk_alolan, poliwrath, Grades : B, B, B, B
Team Rating: 12, Threat Score: 625, cresselia, melmetal, swampert, Grades : B, B, B, B
Team Rating: 12, Threat Score: 624, giratina_origin, lapras, swampert, Grades : B, C, B, A
Team Rating: 12, Threat Score: 624, articuno, perrserker, swampert, Grades : B, C, B, A
Team Rating: 12, Threat Score: 622, articuno, mewtwo_armored, muk_alolan, Grades : B, B, B, B
Team Rating: 12, Threat Score: 622, articuno, lapras, swampert, Grades : B, B, B, B
Team Rating: 12, Threat Score: 621, mewtwo_armored, muk_alolan, swampert, Grades : B, B, B, B
Team Rating: 12, Threat Score: 620, giratina_altered, lapras, melmetal, Grades : B, B, B, B
Team Rating: 12, Threat Score: 612, giratina_altered, lapras, poliwrath, Grades : B, B, B, B
Team Rating: 12, Threat Score: 609, articuno, giratina_altered, swampert, Grades : B, B, B, B
Team Rating: 12, Threat Score: 608, giratina_origin, lapras, machamp, Grades : B, C, B, A
Team Rating: 12, Threat Score: 606, articuno, giratina_altered, poliwrath, Grades : B, B, B, B
Team Rating: 12, Threat Score: 600, articuno, mewtwo_armored, swampert, Grades : B, B, B, B
Team Rating: 12, Threat Score: 599, articuno, giratina_altered, melmetal, Grades : B, B, B, B
Team Rating: 11, Threat Score: 809, muk_alolan, registeel, snorlax, Grades : F, A, B, A
